ID,Nama,Ketinggian,Provinsi,Wilayah,Deskripsi,Aktif (Aktif/Tidak Aktif),Level (Pemula/Mahir),Kota/Kab
156,Gunung Megalama,1231,Jawa Timur,Jawa,"Gunung Megalama adalah puncak di Jawa Timur dan memiliki ketinggian 1.231 meter. Gunung Megalama terletak di sebelah barat Gunung Roda, dan tenggara Gunung Ngajoran.",Tidak Aktif,Pemula,Pacitan
157,Gunung Mungal,2480,Jawa Timur,Jawa,"Gunung Mungal merupakan sebuah gunung yang terletak di Pasuruan, Jawa Timur. Gunung ini memiliki ketinggian 2.480 mdpl.",Tidak Aktif,Pemula,Pasuruan
158,Gunung Nglumpang,1020,Jawa Timur,Jawa,Gunung Nglumpang adalah sebuah gunung di Jawa Timur yang memiliki ketinggian 1.051 meter. Gunung Nglumpang terletak di utara Gunung Doro dan di utara Gunung Tulung.,Tidak Aktif,Pemula,Ponorogo
159,Gunung Pandan,897,Jawa Timur,Jawa,"Gunung Pandan (903 m) adalah sebuah gunung bertipe Stratovolcano yang terletak di Pulau Jawa, Indonesia, tepatnya di selatan Kabupaten Bojonegoro, utara Kabupaten Madiun dan Kabupaten Nganjuk, Jawa Timur. Status gunung ini adalah gunung api (""istirahat"") dan telah lama tidak aktif. Gunung ini merupakan puncak tertinggi di Pegunungan Kendeng.",Tidak Aktif,Pemula,Bojonegoro
160,Gunung Panderman,2045,Jawa Timur,Jawa,"Gunung Panderman adalah sebuah gunung di Kota Batu, Jawa Timur, Indonesia, dengan puncaknya Basundara yang berketinggian 2.045 mdpl.",Tidak Aktif,Pemula,Batu
161,Gunung Panjungan,2361,Jawa Timur,Jawa,"Gunung Panjungan merupakan gunung yang terketaj di Jember, Jawa Timur. Gunung ini memiliki ketinggian 2.361 mdpl.",Tidak Aktif,Pemula,Jember
162,Gunung Penanggungan,1653,Jawa Timur,Jawa,"Gunung Penanggungan (nama kuno: Gunung Pawitra) (1.653 m dpl) adalah gunung berapi kerucut dalam kondisi istirahat yang berada di Jawa Timur, Indonesia. Posisinya berada di perbatasan dua kabupaten, yaitu Kabupaten Mojokerto (sisi barat) dan Kabupaten Pasuruan (sisi timur) dan berjarak kurang lebih 55 km sebelah selatan kota Surabaya.",Aktif,Pemula,Mojokerto
163,Gunung Penanjakan,2777,Jawa Timur,Jawa,"Gunung Penanjakan atau bisa juga disebut Pananjakan adalah salah satu gunung yang terdapat di Taman Nasional Bromo Tengger Semeru, Pasuruan, Jawa Timur, Indonesia. Gunung Penanjakan lebih diidentikan dengan sebutan Penanjakan 1 yang biasa dijadikan sebagai lokasi pandang untuk melihat Gunung Bromo, karena ketinggiannya di atas Gunung Bromo yang hanya memiliki ketinggian 2329 mdpl. Dari Gunung Penanjakan dapat terlihat lautan pasir luas beserta Gunung Bromo di tengahnya, lalu juga terlihat Gunung Batok, Gunung Kursi dan Gunung Semeru.",Tidak Aktif,Pemula,Pasuruan
164,Gunung Ranti,2601,Jawa Timur,Jawa,"Gunung Ranti adalah gunung di Provinsi Jawa Timur, Indonesia. Gunung Ranti merupakan salah satu puncak di kawasan Pegunungan Ijen dengan ketinggian mencapai 2.601 Mdpl yang berada di perbatasan Kabupaten Bondowoso dan Kabupaten Banyuwangi. Gunung berbentuk kerucut ini terletak di sebelah baratdaya Gunung Merapi (Jawa Timur) dan Gunung Ijen.",Tidak Aktif,Pemula,"Bondowoso, Banyuwangi"
165,Gunung Raung,3332,Jawa Timur,Jawa,"Gunung Raung (puncak tertinggi: 3.344 mdpl) adalah gunung berapi kerucut yang terletak di ujung timur Pulau Jawa, Indonesia. Secara administratif, kawasan gunung ini termasuk dalam wilayah tiga kabupaten di wilayah Besuki, Jawa Timur, yaitu Banyuwangi, Bondowoso, dan Jember.",Aktif,Mahir,"Bondowoso, Banyuwangi, Jember"
166,Gunung Semeru,3676,Jawa Timur,Jawa,"Gunung Semeru atau Gunung Meru adalah sebuah gunung berapi kerucut di Jawa Timur, Indonesia. Gunung Semeru merupakan gunung tertinggi di Pulau Jawa, dengan puncaknya Mahameru, 3.676 meter dari permukaan laut (mdpl). Gunung ini terbentuk akibat subduksi Lempeng Indo-Australia kebawah Lempeng Eurasia. Gunung Semeru juga merupakan gunung berapi tertinggi ketiga di Indonesia setelah Gunung Kerinci di Sumatra dan Gunung Rinjani di Nusa Tenggara Barat. Kawah di puncak Gunung Semeru dikenal dengan nama Jonggring Saloko.",Aktif,Pemula,"Malang, Lumajang"
167,Gunung Semungklung,1200,Jawa Timur,Jawa,"Gunung Semungklung adalah pegunungan yang berada di Kecamatan Dongko dengan hutan heterogen yang masih alami. Kearifan lokal warga desa di sekitar pegunungan inilah yang membuat hutan Semungklung terjaga. Bagi penghobi hiking bisa mencoba naik pegunungan Semungklung melalui desa Sumberbening. Rimba di semungklung ini bisa dikatakan sebagai satu-satunya rimba terakhir yang masih di miliki oleh Kabupaten Trenggalek. Di dalam rimba Semungklung juga terdapat sebuah air terjun yang oleh warga sekitar diberi nama Jurug Kepyur. Vegetasi hutan yang ada antara lain Pakis, Pisang Hutan dan tumbuhan besar lainnya. Satwa liar yang ada antara lain babi hutan (celeng), monyet, kucing hutan, elang, dll. Masyarakat di sekitar hutan sangat pro aktif dalam menjaga keasrian Rimba Semungklung karena rimba ini adalah sumber air bagi warga di sekitarnya.",Tidak Aktif,Mahir,Trenggalek
168,Gunung Beruk,1200,Jawa Timur,Jawa,"Gunung Beruk merupakan salah satu destinasi wisata alam yang ada di Ponorogo, tepatnya berada di Desa Karang Patihan, Kecamatan Balong, Kabupaten Ponorogo, Jawa Timur. Wisata ini menjadi destinasi favorit, tak hanya bagi warga lokal, tapi juga wisatawan dari kota-kota sekitar. Berkat peran pemuda karang taruna desa karang patihan, sekarang Gunung Beruk menjadi ramai diperbincangkan di media sosial. Berawal dari inisiatif kepala desa karang patihan yang ingin memajukan potensi keindahan alam yang dimiliki desanya, pada awalnya hanya membuat rumah pohon kecil di bukit Gunung Beruk, lalu di foto dan di publikasikan ke media sosial. Karena keindahan alamnya, banyak pengguna media sosial  yang penasaran sehingga mereka mencari lokasi Gunung Beruk dengan bertanya-tanya kepada masyarakat.",Tidak Aktif,Mahir,Ponorogo
169,Gunung Suket,2950,Jawa Timur,Jawa,Gunung Suket adalah sebuah gunung yang terletak di Provinsi Jawa Timur. Gunung ini terletak berdampingan dengan Gunung Raung dan termasuk dalam kawasan Pegunungan Ijen.,Tidak Aktif,Mahir,"Bondowoso, Banyuwangi"
170,Gunung Tanggung,780,Jawa Timur,Jawa,"Gunung Tanggung, terletak di Dusun Pronojiwo, Desa Blarang, Kec. Tutur Kab. Pasuruan.. Merupakan destinasi wisata yang baru populer di era pandemi, banyak pengunjung dari seluruh wilayah Jawa Timur yang datang ke sini karena pemandangannya yang indah dan jarak tempuh menuju puncak yang hanya membutihkan waktu sekitar 40-50 menit saja, bahkan dalam perjalanan menuju puncak Gunung Tanggung ini anda akan dimanjakan dengan pemandangan yang membuat anda takjub, tidak perlu membawa bekal jika kesini karena diare ini sudah banyak penjual makanan dan minuman dengan harga yang sangat terjangkau dan rasanya sudah pasti dijamin enak, makanan khas desa maupun makanan mie instant serta minuman kopi dan lainnya tersedia di area ini",Tidak Aktif,Pemula,Pasuruan
171,Gunung Welirang,3156,Jawa Timur,Jawa,"Gunung Welirang adalah sebuah gunung berapi aktif dengan ketinggian 3.156 m dpl yang secara administratif terletak di perbatasan Kota Batu, Kabupaten Pasuruan, dan Kabupaten Mojokerto, Jawa Timur, Indonesia. Gunung Welirang berada dalam pengelolaan Taman Hutan Raya Raden Soerjo. Gunung Welirang bersebelahan dengan Gunung Arjuno, Gunung Kembar I, dan Gunung Kembar II. Puncak Gunung Welirang terletak pada satu punggungan yang sama dengan puncak gunung Arjuno, sehingga kompleks ini sering disebut juga dengan Arjuno-Welirang.",Aktif,Mahir,"Batu, Pasuruan, Mojokerto"
172,Gunung Wilis,2552,Jawa Timur,Jawa,"Gunung Wilis adalah sebuah gunung berapi yang terletak di Jawa Timur, Indonesia. Pegunungan Wilis memiliki puncak yang bernama puncak Trogati dengan ketinggian 2.563 meter di atas permukaan laut (mdpl) dan termasuk dalam wilayah enam kabupaten dan satu wilayah Kota yaitu Kota Kediri, Kabupaten Kediri, Kabupaten Tulungagung, Kabupaten Nganjuk, Kabupaten Madiun, Kabupaten Ponorogo, dan Kabupaten Trenggalek.Gunung Wilis mempunyai kawasan hutan Dipterokarp Bukit, hutan Dipterokarp Atas, hutan Montane, dan hutan Ericaceous atau hutan gunung.",Aktif,Pemula,"Kediri, Tulungagung, Nganjuk, Madiun, Ponorogo, Trenggalek"
173,Gunung Sewu,1240,Yogyakarta,Jawa,"Pegunungan Sewu adalah nama untuk deretan pegunungan yang terbentang memanjang di sepanjang pantai selatan Kabupaten Gunung Kidul (Daerah Istimewa Yogyakarta), Kabupaten Wonogiri (Jawa Tengah), hingga Kabupaten Tulungagung (Jawa Timur) di Pulau Jawa. Deretan pegunungan Sewu terbentuk karena pengangkatan dasar laut ribuan tahun silam. Batuan kapur menjadi ciri khas pegunungan ini.",Tidak Aktif,Pemula,Gunung Kidul
174,Gunung Burni Telong,2600,Aceh,Sumatra,"Gunung Burni Telong adalah salah satu gunung yang ada di Aceh. Ketinggian puncaknya adalah 2624 meter di atas permukaan laut. Pendakian ke gunung ini dimulai dari Kabupaten Bener Meriah. Nama lain gunung ini adalah Gunung Tutong, Gunung Boer Moetelong, atau Gunung Telong. dalam pembagian administratif, letaknya di Kabupaten Aceh Tengah. Gunung Burni Telong termasuk jenis gunung berapi kerucut. Gunung Burni Telong pernah meletus sebanyak 5 kali di tahun 1837, 1839, 1856, 1919, dan 1924 Masehi.",Aktif,Pemula,Bener Meriah
175,Gunung Geureudong,2885,Aceh,Sumatra,"Gunung Geureudong atau Bur ni Geureudong atau Bur ni Telong adalah gunung stratovolcano di Provinsi Aceh, Indonesia. Nama resmi untuk kompleks gunung berapi ini masih menjadi perdebatan, karena posisi Bur ni Geureudong dan Bur ni Telong yang berdekatan. Dua Kerucut vulkanik bernama Salah Nama dan Pepanji yang merupakan bukit sedimen.Bur ni Geureudong telah mengalami longsor sejak masa Pleistosen, tetapi memiliki fumarol dan mata air panas di bagian lereng. Bur ni Telong terletak di selatan dari Bur ni Geureundong. Bur ni Telong memiliki kawah aktif yang masih terdapat lava di bagian selatan lereng gunung.",Aktif,Mahir,Bener Meriah
176,Gunung Kembar,2245,Aceh,Sumatra,"Gunung Kembar adalah sebuah gunung berapi Pleistosen yang terletak di bagian utara Pulau Sumatra, Indonesia. Gunung ini terdapat fumarol, yang bernama Gayolesten.",Aktif,Mahir,"Malang, Pasuruan, Batu"
177,Gunung Leuser,3404,Aceh,Sumatra,"Gunung Leuser merupakan salah satu puncak dari puncak pegunungan leuser dengan ketinggiannya 3,404 m terletak di sebelah tenggara Aceh, dekat perbatasan dengan Sumatra Utara.Gunung Leuser terletak di dalam Taman Nasional Gunung Leuser yang mengambil nama gunung ini sebagai namanya. Sedangkan Taman Nasional Gunung Leuser dan area disekitarnya dikenal dengan nama Kawasan Ekosistem Leuser yang menjadi Situs Warisan Dunia UNESCO.",Tidak Aktif,Mahir,Gayo Lues
178,Gunung Perkison,2828,Aceh,Sumatra,"Gunung Perkison adalah sebuah gunung yang terdapat di Kabupaten Aceh Tenggara, Provinsi Aceh, Indonesia. Jarak dari kota Kutacane, ibu kota Kabupaten Aceh Tenggara, sekitar 30 km ke arah barat laut.",Tidak Aktif,Mahir,Aceh Tenggara
179,Gunung Seulawah Agam,1726,Aceh,Sumatra,"Gunung Seulawah Agam adalah sebuah gunung berapi yang terletak di Kecamatan Seulimeum dan Kecamatan Lembah Seulawah, Kabupaten Aceh Besar, Provinsi Aceh. Selain dikenal sebagai Seulawah Agam, gunung yang memiliki tinggi 1726 mdpl ini memiliki nama-nama lain seperti, Solawa Agam, Solawaik Agam, Selawadjanten, dan Goldberg. Kawah Seulawah Agam dikenal sebagai Kawah Heutsz dan ada juga yang menyebut kawahnya sebagai Tanah Simpago",Aktif,Pemula,Aceh Besar
180,Gunung Kemiri,3314,Aceh,Sumatra,"Gunung Kemiri (ketinggian 3.314 m dl), pada peta topografi merupakan salah satu gunung tertinggi dijajaran pegunungan di kawasan Leuser. Titik awal pendakian berada di Desa Gumpang, Kecamatan Blangkejeren Kabupaten Gayo Lues. Mata pencaharian masyarakat umumnya adalah petani dengan mayoritas suku Gayo.Pendakian Gunung Kemiri dimulai dari Desa Gumpang dengan lama pendakian hingga mencapai puncak dibutuhkan waktu 4 hari perjalanan menyusuri kawasan hutan Leuser. Waktu turun biasanya lebih cepat dan hanya membutuhkan waktu 2 hari hingga sampai di desa kembali.",Tidak Aktif,Pemula,Gayo Lues
181,Gunung Bandahara,3030,Aceh,Sumatra,"Gunung Bandahara adalah sebuah gunung yang terdapat di Kabupaten Gayo Lues, Provinsi Aceh, Indonesia. Jarak dari kota Blang Kejeran ibu kota Kabupaten Gayo Lues sekitar 50 ke arah tenggara - timur, sedangkan jarak dari Kota Kutacane, ibu kota Kabupaten Aceh Tenggara, sekitar 35 km arah utara - barat laut.",Tidak Aktif,Mahir,Gayo Lues
182,Gunung Seblat,2383,Bengkulu ,Sumatra,"Gunung Seblat adalah gunung yang terletak di perbatasan Kabupaten Lebong, Provinsi Bengkulu dengan Kabupaten Musi Rawas, Provinsi Sumatra Selatan. Dari Kota Muaraaman (ibu kota Kabupaten Lebong) gunung ini berada di sebelah utara - barat laut dengan jarak sekitar 20 km",Tidak Aktif,Mahir,Lebong
183,Gunung Kerinci,3805,Jambi,Sumatra,"Gunung Kerinci (juga dieja ""Kerintji"", dan dikenal sebagai Gunung Gadang, Merapi) adalah gunung tertinggi di Sumatra, gunung berapi tertinggi di Indonesia, dan puncak tertinggi di Indonesia diluar Papua. Gunung Kerinci terletak di Kabupaten Kerinci, Provinsi Jambi, lebih tepatnya diperbatasan antara Provinsi Jambi dengan Provinsi Sumatera Barat, di Pegunungan Bukit Barisan, dekat pantai barat, dengan ketinggian 3.805 mdpl. Gunung ini juga menjadi batas antara wilayah Suku Kerinci dengan Etnis Minangkabau yang dikelilingi hutan lebat Taman Nasional Kerinci Seblat, merupakan habitat harimau sumatra dan badak sumatra.",Aktif,Mahir,Kerinci
184,Gunung Kunyit,2151,Jambi,Sumatra,"Gunung Kunyit (Bukit Belerang) adalah gunung berapi stratovolcano fumarol yang terdapat di Desa Talang Kemuning, Kecamatan Gunung Raya, Kabupaten Kerinci, Jambi, Sumatra, Indonesia. Puncak gunung memiliki dua kawah; dengan kawah teratas merupakan Danau kawah.Perbukitan itu oleh masyarakat setempat dikenal dengan Gunung Kunyit karena warna belerang yang kuning seperti kunyit ditambah aroma bau belerangnya yang menyengat juga seperti kunyit.",Aktif,Mahir,Kerinci
185,Gunung Masurai,2980,Jambi,Sumatra,"Gunung Masurai adalah gunung di pulau Sumatra, Indonesia. Gunung tak aktif ini secara administatif terletak dalam tiga wilayah kecamatan di kabupaten Merangin, Jambi, yakni kecamatan Lembah Masurai, Jangkat dan Sungai Tenang. Gunung Masurai diperuntukan sebagai kawasan Hutan Konservasi, yakni kawasan Taman Nasional Kerinci Seblat. Gunung Masurai merupakan sisa gunung api kompleks yang sangat luas dan besar dengan setengah kaldera tersisa dibagian timur. Sedangkan di sebelah barat muncul dua kerucut. Satu diantaranya memiliki dua buah danau vulkanik, yaitu Danau Kumbang dan Danau Mabuk.",Tidak Aktif,Mahir,Merangin
186,Gunung Jantan,439,Kepulauan Riau,Sumatra,"Gunung Jantan berada di Desa Pongkar, Kecamatan Tebing, Kabupaten Karimun, Provinsi Kepulauan Riau. Gunung ini memiliki ketinggian 439 Meter Diatas Permukaan Laut (MDPL). Untuk bisa tiba di atas puncak, akan memerlukan waktu selama 80-90 menit perjalanan.",Tidak Aktif,Mahir,Karimun
187,Gunung Ranai,1035,Kepulauan Riau,Sumatra,"Gunung Ranai adalah gunung yang terletak di pulau Ranai, Kabupaten Natuna, Provinsi Kepulauan Riau, Indonesia. Gunung Ranai merupakan gunung dataran rendah, sebab ketinggiannya berkisar antara 300—1.035 meter di atas permukaan laut (mdpl). Meskipun demikian, para pelancong yang mendaki gunung ini akan menemukan fenomena menarik, yaitu gradasi jenis-jenis tanaman dari hutan dataran rendah hingga hutan dataran atas. Pada ketinggian tertentu, para pendaki akan menemukan tipe-tipe vegetasi yang memperlihatkan ciri khas pegunungan dataran atas (gunung dengan ketinggian rata-rata 2.000 meter dpl).",Tidak Aktif,Mahir,Natuna
188,Gunung Daik,1165,Kepulauan Riau,Sumatra,"Gunung Daik adalah gunung yang terletak di Pulau Lingga, Kabupaten Lingga, Provinsi Kepulauan Riau, Indonesia. Gunung ini adalah gunung tertinggi di Provinsi Kepulauan Riau. Gunung Daik memiliki tiga puncak Gunung Daik, Gunung Pejantan, Gunung Cindai Menangis. Gunung Daik memiliki ketinggian 1.165 meter dpl dengan puncaknya memiliki kesulitan panjat tebing 5.9-5.11 North American Grade Standard.",Tidak Aktif,Pemula,Lingga
189,Gunung Krakatau,813,Lampung,Sumatra,"Krakatau (atau Rakata) adalah kepulauan vulkanik yang masih aktif dan berada di Kecamatan Rajabasa, Kabupaten Lampung Selatan, tepatnya di perairan Selat Sunda, antara Pulau Jawa dan Sumatra.[2] Nama ini juga disematkan pada satu puncak gunung berapi di sana (Gunung Krakatau) yang sirna karena letusan kataklismik pada tanggal 26-27 Agustus 1883. Pada tahun 2019, kawasan yang sekarang merupakan cagar alam ini memiliki empat pulau kecil: Pulau Rakata, Pulau Anak Krakatau, Pulau Sertung, dan Pulau Panjang (Rakata Kecil). Berdasarkan kajian geologi, semua pulau ini berasal dari sistem gunung berapi tunggal Krakatau yang pernah ada di masa lalu.",Aktif,Pemula,Lampung
190,Gunung Pesagi,2262,Lampung,Sumatra,"Gunung Pesagi adalah gunung tak aktif salah satu dari 5 Gunung bersejarah yang ada di provinsi Lampung, Indonesia. Dari kelima gunung tersebut, Gunung Pesagi adalah gunung yang mempunyai puncak paling tertinggi yang ada di lemah Lampung (tanah Lampung).",Tidak Aktif,Pemula,Lampung Barat
191,Gunung Pesawaran,1662,Lampung,Sumatra,"Gunung Pesawaran adalah gunung tertinggi di Kabupaten Pesawaran dengan ketinggian 1.662 mdpl. Terletak di Kecamatan Kedondong, Provinsi Lampung. Memiliki kondisi alam yang masih asri, terjaga dengan medan pendakian yang menantang. Pada ketinggian wisatawan atau pendaki dapat menikmati pemandangan pegunungan dan Gunung Bentung dengan jelas Gunung Penawaran cocok untuk pendaki pemula tetapi tetap berada dalam pengawasan serta tetap hati-hati.",Tidak Aktif,Pemula,Pesawaran
192,Gunung Rajabasa,1281,Lampung,Sumatra,"Gunung Rajabasa adalah gunung berapi dengan kerucut vulkanik yang terdapat di Selat Sunda di bagian tenggara dari Sumatra, terletak di Kabupaten Lampung Selatan, Provinsi Lampung. Memiliki puncak kawah dengan lebar 500x700 meter dengan bagian daratan berawa, gunung berapi diselimuti dengan berbagai vegetasi. Walaupun aktivitas fumarol terjadi di bagian kaki dan lereng gunung. Terjadi kenaikan aktivitas yang dilaporkan terjadi pada April 1863 dan Mei 1892 serta tidak diketahui kapan terjadi erupsi.",Aktif,Mahir,Lampung Selatan
193,Gunung Seminung,1881,Lampung,Sumatra,"Gunung Seminung adalah gunung yang terletak di perbatasan Kecamatan Sukau, Kabupaten Lampung Barat, Provinsi Lampung, dengan Kecamatan Banding Agung, Kabupaten Ogan Komering Ulu Selatan, Provinsi Sumatra Selatan. Sama seperti Gunung Merapi, gunung ini merupakan ""gunung antar-provinsi"". Gunung ini berada di sebelah barat laut dari Kota Liwa dengan jarak sekitar 25 km. Kaki gunung ini berada di sebuah danau, yaitu Danau Ranau, yang juga merupakan sebuah ""danau antar propinsi"". Gunung Seminung ini memiliki pemandangan yang mempesona jika di lihat dari atas gunung tersebut.",Tidak Aktif,Mahir,Lampung Barat
194,Gunung Tanggamus,2102,Lampung,Sumatra,"Gunung Tanggamus adalah sebuah gunung yang terletak di Kecamatan Kota Agung, Kabupaten Tanggamus, Provinsi Lampung, Indonesia. Gunung ini berada di sebelah timur laut dari Kota Agung dengan jarak sekitar 10 km. Gunung ini adalah gunung tertinggi kedua di Provinsi Lampung, setelah Gunung Pesagi.",Tidak Aktif,Pemula,Tanggamus
195,Gunung Betung,1240,Lampung,Sumatra,"Gunung Betung adalah salah satu gunung yang ada di Kabupaten Pesawaran. Tingginya hanya 400 meter saja, untuk Anda yang sedang ingin latihan para pendaki pemula. Gunung Betung menjadi salah satu gung favorit traveller pecinta alam yang datang ke Pesawaran. Selain Karena tingginya yang hanya 400 meter saja, akses jalur menunu puncak juga tidak begitu su;it.",Tidak Aktif,Pemula,Pesawaran
196,Gunung Djadi,1100,Riau ,Sumatra,"Gunung Djadi terletak di hulu Sungai Kampar, Kecamatan Kampar Kiri Hulu, tepatnya berada di dalam kawasan Suaka Margasatwa Bukit Rimbang Bukit Baling, Kabupaten Kampar Riau. Menariknya, untuk sampai ke puncak Gunung Djadi, kamu harus melewati 10 puncak bukit. ",Tidak Aktif,Mahir,Kampar
197,Gunung Kelabu,2179,Sumatra Barat,Sumatra,"Gunung Kulabu adalah sebuah Gunung yang terletak di perbatasan Sumatera Barat dan sumatera Utara tepatnya di Kecamatan Dua Koto, Kabupaten Pasaman, Provinsi Sumatera Barat Indonesia yang memiliki ketinggian 2179 meter, atau setara dengan 7149 kaki.  Dataran tinggi berbentuk Gunung yang bernama Gunung Kulabu ini masih belum tereksplor secara luas, karena minimnya aktivitas pendakian ke sana. Padahal sebenarnya keindahan alam yang disajikan oleh Gunung Kulabu tidak kalah indahnya dari gunung-gunung lain di dunia.",Tidak Aktif,Pemula,Pasaman
198,Gunung Mande Rabiah,2430,Sumatra Barat,Sumatra,"Gunung Mande Rabiah memiliki ketinggian 2.430 mdpl dan terletak di pesisir selatan Provinsi Sumatera Barat. Tidak banyak pendaki yang mengetahui tentang informasi gunung Mande ini. Jalur pendakiannya tidak begitu jelas, ada baiknya kamu mengajak guide saat berencana melakukan pendakian.",Tidak Aktif,Mahir,Pesisir Selatan
199,Gunung Marapi,2891,Sumatra Barat,Sumatra,"Gunung Marapi (juga dikenal sebagai Merapi atau Berapi) adalah gunung berapi yang terletak di Sumatra Barat, Indonesia. Gunung ini tergolong gunung yang paling aktif di Sumatra. Terletak dalam kawasan administrasi Kabupaten Agam. Gunung ini dapat juga dilihat dari kota Bukittinggi, kota Padangpanjang dan kabupaten Tanah Datar dan memiliki ketinggian 2.891 m. Gunung Marapi sudah meletus lebih dari 50 kali sejak akhir abad 18.",Aktif,Pemula,Agam
200,Gunung Pasaman,2190,Sumatra Barat,Sumatra,"Gunung Pasaman adalah gunung yang terletak di Kabupaten Pasaman Barat, Provinsi Sumatra Barat, berdampingan dengan Gunung Talamau. Gunung ini termasuk dalam tipe gunung api tidak aktif, dikenal juga dengan nama Puncak Rajo Imbang Langik, diambil dari nama raja yang pernah berkuasa di daerah tersebut pada zaman dahulu.",Tidak Aktif,Mahir,Pasaman Barat
201,Gunung Rasan,2039,Sumatra Barat,Sumatra,"Gunung Rasan (2039 m) adalah salah satu gunung yang terdapat di Kabupaten Pesisir Selatan, Sumatra Barat. Di gunung inilah tempat asalnya mata air dari salah satu sungai yang terpanjang di Indonesia, yaitu sungai Batang Hari.Koordinat gunung ini adalah 1°11'LS 100°45'BT.",Tidak Aktif,Mahir,Pesisir Selatan
202,Gunung Sago,2261,Sumatra Barat,Sumatra,"Gunung Sago adalah sebuah gunung yang terletak di perbatasan daerah kecamatan Lareh Sago Halaban, Luhak, dan Situjuh Lima Nagari, kabupaten Lima Puluh Kota dan Lintau Buo Utara, kabupaten Tanah Datar, provinsi Sumatra Barat, Indonesia.Gunung Sago adalah salah satu gunung tidak aktif.",Tidak Aktif,Pemula," Lima Puluh Kota, Lintau Buo Utara, Tanah Datar"
203,Gunung Singgalang,2877,Sumatra Barat,Sumatra,"Gunung Singgalang merupakan sebuah gunung yang terdapat di provinsi Sumatra Barat, Indonesia dengan ketinggian 2,877 meter. Dari bentuknya, gunung ini sangat mirip dengan Gunung Merbabu di Jawa Tengah. Gunung ini sudah tidak aktif lagi dan mempunyai telaga di puncaknya yang merupakan bekas kawah, Telaga ini dinamai Telaga Dewi. Gunung Singgalang mempunyai kawasan hutan gunung yang sangat lembap serta memiliki kandungan air yang banyak.",Tidak Aktif,Pemula,Agam dan Tanah Datar
204,Gunung Talamau,2913,Sumatra Barat,Sumatra,"Gunung Talamau atau juga disebut Gunung Ophir adalah gunung tertinggi di Sumatra Barat yang terletak di Kabupaten Pasaman Barat, berdampingan dengan Gunung Pasaman. Gunung ini memiliki ketinggian 2,920 meter dan termasuk dalam tipe gunung api tidak aktif. Di bawah puncak gunung pada ketinggian sekitar 2.750 m, terdapat 13 telaga.",Aktif,Pemula,Pasaman Barat
205,Gunung Talang,2572,Sumatra Barat,Sumatra,"Gunung Talang (nama lainnya Salasi atau Sulasi) merupakan gunung berapi yang terletak terletak di kabupaten Solok, provinsi Sumatra Barat, Indonesia. Gunung Talang berlokasi sekitar 9 km dari kota Arosuka ibu kota kabupaten Solok, dan sekitar 40 km sebelah timur kota Padang.",Aktif,Pemula,Solok
206,Gunung Tambin,2271,Sumatra Barat,Sumatra,"Gunung Tambin adalah sebuah Gunung yang terletak di negara Indonesia yang memiliki ketinggian 2271 meter, atau setara dengan 7451 kaki.  Dataran tinggi berbentuk Gunung yang bernama Gunung Tambin ini berada di wilayah Asia.",Tidak Aktif,Pemula,Pasaman
207,Gunung Tandikat,2438,Sumatra Barat,Sumatra,"Gunung Tandikat adalah gunung berapi yang terletak di Dataran Tinggi Minangkabau, 7,5 km dari kota Padang Panjang, Provinsi Sumatra Barat, Indonesia. Gunung ini membentang ke arah selatan. Sebelah barat berbatasan dengan Danau Maninjau, sisi utara berdampingan dengan Gunung Singgalang, sementara di sebelah timur terdapat gugusan pegunungan vulkanik tersier tua. Gunung bertipe stratovolcano ini disebut Tandikek dalam bahasa Minangkabau.",Aktif,Mahir,Padang Panjang
208,Gunung Ambun,2060,Sumatra Barat,Sumatra,"Gunung Ambun adalah sebuah Gunung yang terletak di negara Indonesia yang memiliki ketinggian 2060 meter, atau setara dengan 6759 kaki.  Dataran tinggi berbentuk Gunung yang bernama Gunung Ambun ini berada di wilayah Asia. ",Tidak Aktif,Mahir,Pasaman Barat
209,Gunung Dempo,3159,Sumatra Selatan ,Sumatra,"Gunung Dempo terletak di perbatasan provinsi Sumatra Selatan dan provinsi Bengkulu tepatnya di kota dingin penghasil kopi robusta yaitu Kota Pagaralam. Gunung Dempo terletak di kota Pagaralam, dengan jarak tempuh darat sekitar 7 jam dari Palembang, ibu kota provinsi Sumatra Selatan.",Aktif,Pemula,Pagaralam
210,Gunung Sibuaten,2457,Sumatra Utara ,Sumatra,"Gunung Sibuatan atau Dolok Sibuatan dalam bahasa Bahasa Simalungun dan Toba, juga Deleng Sibuaten dalam bahasa Karo adalah gunung tertinggi di Sumatra Utara dekat Danau Toba. Gunung Sibuatan berada di perbatasan Kabupaten Karo dengan Kabupaten Dairi dengan ketinggian 2.457 m dpl atau lebih tinggi dari Gunung Sibayak yang tercatat sebagai gunung berapi aktif yang juga berada di Kabupaten Karo. Keberadaan Gunung Sibuatan masih berada pada deretan Pegunungan Barisan. Untuk mencapai puncak gunung ini membutuhkan waktu sekitar 7-9 jam. Keberadaan hutan rimba Gunung Sibuatan yang sangat lembap dan licin, membuat keberadaanya sangat sukar untuk didaki, khususnya pada musim hujan.",Tidak Aktif,Pemula,"Karo, Dairi"
